MhswID,IPS1,IPS2,IPS3,IPS4,IPS5,IPS6,IPS7,IPS8,SKS1,SKS2,SKS3,SKS4,SKS5,SKS6,SKS7,SKS8,P1,P2,P3,P4,P5,P6,P7,P8,AMS
103010074,3.4,3.13,2.55,3.16,3.25,3.74,3.67,3.78,15,26,49,68,85,106,135,144,0,0,0,0,95.57,86,86.53,61.43,0
103010046,3.05,3.17,3,3,2.9,2.83,3,2.33,15,27,48,60,88,102,127,130,0,0,0,0,86.06,67.26,66.15,34.63,1
103010066,2.8,3.11,2.75,3.32,2.88,3.47,3.06,3.09,17,32,52,71,91,106,130,141,0,0,0,0,89.69,74.56,65.22,38.93,0
103010029,3.2,3.11,2.9,2.86,3.12,2.84,3.6,4,17,30,48,70,88,104,132,144,0,0,0,0,92.91,72.52,75.04,86.54,0
103010075,3.1,2.5,2.67,2.73,2.73,3.64,2.96,3.38,18,26,38,46,69,83,114,129,0,0,0,0,71.32,66.65,85.22,60.97,1
103010078,2.35,2.67,2.11,2.77,2.1,2.17,3.06,2.77,14,26,44,53,69,75,105,116,0,0,0,0,71.12,56.68,81.5,76.68,1
103010071,3.25,3.61,3.09,3.59,3.82,3.59,3.56,4,20,38,55,77,97,114,135,146,0,0,0,0,96.9,91.25,90.67,80.12,0
103010073,3.38,3,2.95,3.25,2.45,3.71,3.44,3.79,13,24,41,61,79,96,138,146,0,0,0,0,82.95,63.7,81.67,55.95,0
103010079,2.78,3.06,2.65,3.2,3.13,2.87,2.76,3.21,13,28,45,61,80,92,121,137,0,0,0,0,97.27,75.75,88.11,77.98,0
103010080,2.6,3.17,2.12,2.45,2.13,2,2.6,2.5,21,36,48,57,70,79,96,116,0,0,0,0,79.5,53.94,63.85,56.65,1
103010051,2.94,2.94,2.4,3.2,3.47,3,2.9,3.33,14,27,43,59,80,96,128,138,0,0,0,0,85.87,79.68,68.76,51.8,1
103010082,2.33,3.07,2.5,2.85,2.21,3.14,3.06,3.17,15,30,55,75,92,102,122,134,0,0,0,0,89.26,66.58,84.36,65.96,0
103020002,3,3,3.36,3.58,3.26,3.38,3.88,4,19,38,58,77,97,116,132,143,0,0,0,0,86.77,83.52,81.07,0,0
103020005,3.21,3.42,3.55,3.09,3.3,3.47,3.22,3,19,38,58,77,98,119,135,146,0,0,0,0,93.26,85.32,82.64,35,0
103020006,2.58,2.88,2.35,1.75,2.18,2.93,2.4,2.57,17,33,49,56,70,82,103,112,0,0,0,0,46.76,46.58,41.79,44.09,1
103020007,2.58,2.53,2.22,2,2.17,2.65,2.6,2.33,15,29,46,52,65,77,100,111,0,0,0,0,64.84,80.44,45.12,54.15,1
